cell,arc,meas,slew_idx,load_idx,slew,load,v0,sigma_local,sigma_local_rel,sigma_vth,sigma_u0
NOR2_X1,A_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,7.633279e-11,4.730627e-12,6.197372e-02,3.760790e-12,2.869720e-12
NOR2_X1,A_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,3.872590e-11,2.381945e-12,6.150781e-02,2.073725e-12,1.171890e-12
NOR2_X1,A_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,2.570503e-11,1.652423e-12,6.428405e-02,1.315447e-12,1.000051e-12
NOR2_X1,A_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,5.046492e-11,3.067935e-12,6.079342e-02,2.645874e-12,1.552924e-12
NOR2_X1,A_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,3.977259e-11,2.473476e-12,6.219048e-02,1.967547e-12,1.498948e-12
NOR2_X1,A_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,7.975798e-11,4.831703e-12,6.057955e-02,4.111262e-12,2.538282e-12
NOR2_X1,A_r_ZN_f,trans,1,2,3.000000e-11,1.200000e-14,7.633325e-11,4.730344e-12,6.196964e-02,3.760534e-12,2.869589e-12
NOR2_X1,A_r_ZN_f,delay,2,0,8.000000e-11,1.000000e-15,5.806978e-11,3.514886e-12,6.052867e-02,3.191085e-12,1.473567e-12
NOR2_X1,A_r_ZN_f,trans,2,0,8.000000e-11,1.000000e-15,3.141575e-11,5.775329e-13,1.838355e-02,2.406881e-13,5.249890e-13
NOR2_X1,A_r_ZN_f,delay,2,1,8.000000e-11,4.000000e-15,6.998708e-11,3.791551e-12,5.417501e-02,3.396612e-12,1.684899e-12
NOR2_X1,A_r_ZN_f,trans,2,1,8.000000e-11,4.000000e-15,4.286432e-11,1.581959e-12,3.690619e-02,1.107301e-12,1.129813e-12
NOR2_X1,A_r_ZN_f,delay,2,2,8.000000e-11,1.200000e-14,9.923010e-11,5.634223e-12,5.677938e-02,4.940449e-12,2.708586e-12
NOR2_X1,A_r_ZN_f,trans,2,2,8.000000e-11,1.200000e-14,7.663387e-11,4.414419e-12,5.760402e-02,3.464584e-12,2.735646e-12
NOR2_X1,A_f_ZN_r,delay,0,0,1.000000e-11,1.000000e-15,3.803910e-11,1.266911e-12,3.330548e-02,8.628788e-13,9.276328e-13
NOR2_X1,A_f_ZN_r,trans,0,0,1.000000e-11,1.000000e-15,2.779281e-11,9.236614e-13,3.323383e-02,5.147801e-13,7.669106e-13
NOR2_X1,A_f_ZN_r,delay,0,1,1.000000e-11,4.000000e-15,5.301202e-11,1.782189e-12,3.361859e-02,1.199582e-12,1.318030e-12
NOR2_X1,A_f_ZN_r,trans,0,1,1.000000e-11,4.000000e-15,4.822424e-11,1.625998e-12,3.371745e-02,9.644227e-13,1.309106e-12
NOR2_X1,A_f_ZN_r,delay,0,2,1.000000e-11,1.200000e-14,9.254405e-11,3.190627e-12,3.447684e-02,2.146989e-12,2.360198e-12
NOR2_X1,A_f_ZN_r,trans,0,2,1.000000e-11,1.200000e-14,1.029966e-10,3.525839e-12,3.423258e-02,2.178798e-12,2.772072e-12
NOR2_X1,A_f_ZN_r,delay,1,0,3.000000e-11,1.000000e-15,4.639541e-11,1.385014e-12,2.985239e-02,1.008565e-12,9.492416e-13
NOR2_X1,A_f_ZN_r,trans,1,0,3.000000e-11,1.000000e-15,2.783626e-11,9.181103e-13,3.298253e-02,5.089211e-13,7.641505e-13
NOR2_X1,A_f_ZN_r,delay,1,1,3.000000e-11,4.000000e-15,6.139926e-11,1.888567e-12,3.075879e-02,1.331697e-12,1.339130e-12
NOR2_X1,A_f_ZN_r,trans,1,1,3.000000e-11,4.000000e-15,4.823356e-11,1.624753e-12,3.368512e-02,9.630150e-13,1.308596e-12
NOR2_X1,A_f_ZN_r,delay,1,2,3.000000e-11,1.200000e-14,1.010090e-10,3.284369e-12,3.251561e-02,2.261084e-12,2.382138e-12
NOR2_X1,A_f_ZN_r,trans,1,2,3.000000e-11,1.200000e-14,1.029969e-10,3.525935e-12,3.423341e-02,2.178760e-12,2.772223e-12
NOR2_X1,A_f_ZN_r,delay,2,0,8.000000e-11,1.000000e-15,6.408094e-11,2.152142e-12,3.358474e-02,1.774676e-12,1.217473e-12
NOR2_X1,A_f_ZN_r,trans,2,0,8.000000e-11,1.000000e-15,3.074638e-11,6.610458e-13,2.149996e-02,2.640827e-13,6.060049e-13
NOR2_X1,A_f_ZN_r,delay,2,1,8.000000e-11,4.000000e-15,7.960520e-11,2.426819e-12,3.048569e-02,1.903820e-12,1.504965e-12
NOR2_X1,A_f_ZN_r,trans,2,1,8.000000e-11,4.000000e-15,4.959544e-11,1.430197e-12,2.883726e-02,7.936732e-13,1.189767e-12
NOR2_X1,A_f_ZN_r,delay,2,2,8.000000e-11,1.200000e-14,1.192264e-10,3.727970e-12,3.126799e-02,2.738676e-12,2.529310e-12
NOR2_X1,A_f_ZN_r,trans,2,2,8.000000e-11,1.200000e-14,1.030514e-10,3.507285e-12,3.403433e-02,2.162676e-12,2.761138e-12
NOR2_X1,B_r_ZN_f,delay,0,0,1.000000e-11,1.000000e-15,2.136927e-11,1.218125e-12,5.700361e-02,1.040612e-12,6.332111e-13
NOR2_X1,B_r_ZN_f,trans,0,0,1.000000e-11,1.000000e-15,1.529535e-11,9.450090e-13,6.178407e-02,7.495546e-13,5.755084e-13
NOR2_X1,B_r_ZN_f,delay,0,1,1.000000e-11,4.000000e-15,3.241590e-11,1.914883e-12,5.907235e-02,1.620738e-12,1.019797e-12
NOR2_X1,B_r_ZN_f,trans,0,1,1.000000e-11,4.000000e-15,2.890006e-11,1.786561e-12,6.181859e-02,1.417154e-12,1.087877e-12
NOR2_X1,B_r_ZN_f,delay,0,2,1.000000e-11,1.200000e-14,6.061591e-11,3.669263e-12,6.053300e-02,3.076397e-12,1.999817e-12
NOR2_X1,B_r_ZN_f,trans,0,2,1.000000e-11,1.200000e-14,6.517973e-11,4.030174e-12,6.183171e-02,3.196978e-12,2.453902e-12
NOR2_X1,B_r_ZN_f,delay,1,0,3.000000e-11,1.000000e-15,2.849951e-11,1.461579e-12,5.128435e-02,1.299660e-12,6.686532e-13
NOR2_X1,B_r_ZN_f,trans,1,0,3.000000e-11,1.000000e-15,1.602223e-11,6.579743e-13,4.106634e-02,4.763386e-13,4.539072e-13
NOR2_X1,B_r_ZN_f,delay,1,1,3.000000e-11,4.000000e-15,3.969212e-11,2.186937e-12,5.509752e-02,1.908968e-12,1.067021e-12
NOR2_X1,B_r_ZN_f,trans,1,1,3.000000e-11,4.000000e-15,2.889999e-11,1.786351e-12,6.181147e-02,1.417111e-12,1.087587e-12
NOR2_X1,B_r_ZN_f,delay,1,2,3.000000e-11,1.200000e-14,6.828945e-11,3.983782e-12,5.833671e-02,3.405836e-12,2.066591e-12
